filename,source_pdf,ma_so,period,style,width,height,cell_index,total_cells,hoa_si,mieu_ta,nguon_goc
HVDV_-_LS_-_004_crop_01.png,HVDV - LS - 004_ver_03.pdf,HVDV - LS - 004,Le,line_art,2267,2062,1,1,Nguyễn Tuấn Nam,Chim phượng,"Gốm hoa lam Việt Nam (Bùi Minh Trí- Kerry Nguyễn Long, 2001)"
HVDV_-_LS_-_005_crop_01.png,HVDV - LS - 005_ver_03.pdf,HVDV - LS - 005,Le,colored,1667,1668,1,1,Võ Quỳnh Trâm,Sư tử ngậm tiền,"Gốm hoa lam Việt Nam (Bùi Minh Trí- Kerry Nguyễn Long, 2001)"
HVDV_-_LS_-_007_crop_01.png,HVDV - LS - 007_ver_01.pdf,HVDV - LS - 007,Le,line_art,2891,1719,1,1,Nguyễn Tuấn Nam,Long mã,"Gốm hoa lam Việt Nam (Bùi Minh Trí- Kerry Nguyễn Long, 2001)"
HVDV_-_LS_-_011_crop_01.png,HVDV - LS - 011_ver_01.pdf,HVDV - LS - 011,Le,line_art,1813,1669,1,1,Võ Quỳnh Trâm,Chim phượng,"Gốm hoa lam Việt Nam (Bùi Minh Trí- Kerry Nguyễn Long, 2001)"
HVDV_-_LS_-_017_crop_01.png,HVDV - LS - 017_ver_03.pdf,HVDV - LS - 017,Le,line_art,2380,2381,1,1,Nguyễn Tuấn Nam,Cá hóa rồng,"Gốm hoa lam Việt Nam (Bùi Minh Trí- Kerry Nguyễn Long, 2001)"
HVDV_-_LS_-_021_crop_01.png,HVDV - LS - 021_ver_04.pdf,HVDV - LS - 021,Le,line_art,1408,1408,1,1,Võ Quỳnh Trâm,Rồng ổ,"Gốm hoa lam Việt Nam (Bùi Minh Trí- Kerry Nguyễn Long, 2001)"
HVDV_-_LS_-_022_crop_01.png,HVDV - LS - 022_ver_01.pdf,HVDV - LS - 022,Le,line_art,3347,1367,1,1,Nguyễn Tuấn Nam,Mẫu đơn,"Gốm hoa lam Việt Nam (Bùi Minh Trí- Kerry Nguyễn Long, 2001)"
HVDV_-_LS_-_025_crop_01.png,HVDV - LS - 025_ver_03.pdf,HVDV - LS - 025,Le,line_art,1777,1777,1,1,Võ Quỳnh Trâm,Mẫu đơn,"Gốm hoa lam Việt Nam (Bùi Minh Trí- Kerry Nguyễn Long, 2001)"
HVDV_-_LS_-_027_crop_01.png,HVDV - LS - 027_ver_01.pdf,HVDV - LS - 027,Le,colored,1825,1769,1,1,Võ Quỳnh Trâm,Voi,"Gốm hoa lam Việt Nam (Bùi Minh Trí- Kerry Nguyễn Long, 2001)"
HVDV_-_LS_-_028_crop_01.png,HVDV - LS - 028_ver_01.pdf,HVDV - LS - 028,Le,line_art,3259,1221,1,1,Nguyễn Tuấn Nam,Hoa cúc,"Gốm hoa lam Việt Nam (Bùi Minh Trí- Kerry Nguyễn Long, 2001)"
HVDV_-_LS_-_035a_crop_01.png,HVDV - LS - 035a_ver_03.pdf,HVDV - LS - 035a,Le,line_art,2079,3154,1,1,Nguyễn Tuấn Nam,Xi vẫn,"Bảo tàng Lịch sử Quốc gia, ảnh: Nguyễn Ngọc Phương Đông"
HVDV_-_LS_-_CHAM_KHAC_-_40_crop_01.png,HVDV - LS - CHAM KHAC - 40_ver_03.pdf,HVDV - LS - CHAM KHAC - 40,Le,line_art,4352,3282,1,1,Nguyễn Tuấn Nam,Rồng trên trán bia,"Lăng Lê Hiến Tông, sách Nghệ thuật chạm khắc cổ Việt Nam qua các bản dập (Trần Lâm Biền - Chu Quang Trứ)"
HVDV_-_LS_-_CHAM_KHAC_-_41_crop_01.png,HVDV - LS - CHAM KHAC - 41_ver_01.pdf,HVDV - LS - CHAM KHAC - 41,Le,colored,3149,2028,1,1,Võ Quỳnh Trâm,Bảo tướng hoa trên diềm bia,"Bia Văn Miếu, sách Nghệ thuật chạm khắc cổ Việt Nam qua các bản dập (Trần Lâm Biền - Chu Quang Trứ)"
HVDV_-_LS_-_CHAM_KHAC_-_42_crop_01.png,HVDV - LS - CHAM KHAC - 42_ver_01.pdf,HVDV - LS - CHAM KHAC - 42,Le,line_art,3379,951,1,1,Nguyễn Tuấn Nam,Mặt trời trên bia,"Bia Văn Miếu, sách Nghệ thuật chạm khắc cổ Việt Nam qua các bản dập (Trần Lâm Biền - Chu Quang Trứ)"
HVDV_-_LS_-_DA_-_001_crop_01.png,HVDV - LS - DA - 001_ver_01.pdf,HVDV - LS - DA - 001,Le,line_art,2087,448,1,1,Lục Bình,Trang trí diềm,"Bệ thờ khai quật được tại đền Quan Đế, Hà Nội, ảnh: Đặng Bá Minh Công"
HVDV_-_LS_-_KT_-_001_crop_01.png,HVDV - LS - KT - 001_ver_001.pdf,HVDV - LS - KT - 001,Le,line_art,1863,1263,1,1,Võ Quỳnh Trâm,Mây,"Trang trí thềm điện Kính Thiên, Hà Nội, ảnh: Cù Minh Khôi"
HVDV_-_LS2_-_001_crop_01.png,HVDV - LS2 - 001_ver_04.pdf,HVDV - LS2 - 001,Le,line_art,4182,3414,1,2,Nguyễn Tuấn Nam,Rồng trên trán bia,"Lăng Lê Hiển Tông, sách Nghệ thuật chạm khắc cổ Việt Nam qua các bản dập (Trần Lâm Biền - Chu Quang Trứ)"
HVDV_-_LS2_-_001_crop_02.png,HVDV - LS2 - 001_ver_04.pdf,HVDV - LS2 - 001,Le,line_art,3625,3414,2,2,Nguyễn Tuấn Nam,Rồng trên trán bia,"Lăng Lê Hiển Tông, sách Nghệ thuật chạm khắc cổ Việt Nam qua các bản dập (Trần Lâm Biền - Chu Quang Trứ)"
HVDV_-_LTH_-_001_crop_01.png,HVDV - LTH - 001_ver_02.pdf,HVDV - LTH - 001,Le,line_art,6002,2530,1,1,Lục Bình,Rồng,"Thềm điện Kính Thiên, Hà Nội, ảnh: Nguyễn Trí Quang - VR3D.VN"
HVDV_-_LTH_-_025_crop_01.png,HVDV - LTH - 025_ver_01.pdf,HVDV - LTH - 025,Le,line_art,8591,4630,1,1,Lê Thị Hồng Định,Cá hóa rồng,"Chân cột bia, bảo tàng Lịch sử quốc gia, ảnh: Trương Tuấn Anh"
HVDV_-_LTH_-_BIA_-_006_crop_01.png,HVDV - LTH - BIA - 006_ver_01.pdf,HVDV - LTH - BIA - 006,Le,line_art,6217,1907,1,1,Lê Thị Hồng Định,Rồng chầu nhật,"Trán bia chùa Sếu, thành phố Hải Dương, ảnh: Đào Đức Minh"
HVDV_-_LTH_-_BIA_-_010_crop_01.png,HVDV - LTH - BIA - 010_ver_02.pdf,HVDV - LTH - BIA - 010,Le,line_art,8456,1787,1,1,Lê Thị Hồng Định,Rồng chầu nhật,"Trán bia Hậu chùa Đông Dương, hiện vật Bảo tàng Hải Dương, ảnh: Đào Đức Minh"
