filename,source_pdf,ma_so,period,style,width,height,cell_index,total_cells,hoa_si,mieu_ta,nguon_goc
HVDV_-_LYTRAN_-_001_crop_01.png,HVDV - LYTRAN - 001_ver_01.pdf,HVDV - LYTRAN - 001,Ly-Tran,line_art,6640,3347,1,1,Định Lê,Rồng thời Trần,"Chạm khắc bệ đá hoa sen chùa Bối Khê, ảnh: Nguyễn Ngọc Duy"
HVDV_-_LYTRAN_-_002_crop_01.png,HVDV - LYTRAN - 002_ver_01.pdf,HVDV - LYTRAN - 002,Ly-Tran,line_art,10592,6351,1,1,Định Lê,Rồng thời Trần,"Chạm khắc bệ đá hoa sen chùa Bối Khê, ảnh: Nguyễn Ngọc Duy"
HVDV_-_LYTRAN_-_008_crop_01.png,HVDV - LYTRAN - 008_ver_02.pdf,HVDV - LYTRAN - 008,Ly-Tran,line_art,6298,3956,1,2,Lục Bình,Pattern áo giáp và hoa thời Lý,"Tượng kim cương chùa Phật Tích, Bảo tàng Lịch sử Quốc gia, ảnh: Trương Tuấn Anh"
HVDV_-_LYTRAN_-_008_crop_02.png,HVDV - LYTRAN - 008_ver_02.pdf,HVDV - LYTRAN - 008,Ly-Tran,colored,6298,3960,2,2,Lục Bình,Pattern áo giáp và hoa thời Lý,"Tượng kim cương chùa Phật Tích, Bảo tàng Lịch sử Quốc gia, ảnh: Trương Tuấn Anh"
HVDV_-_LYTRAN_-_010_crop_01.png,HVDV - LYTRAN - 010_ver_01.pdf,HVDV - LYTRAN - 010,Ly-Tran,line_art,1113,1093,1,1,Lục Bình,Gạch hoa thời Lý- Trần,"Di tích 18 Hoàng Diệu. Ảnh: Đặng Hồng Sơn, Gạch ngói và vật liệu trang trí trên mái thời Lý - Trần - Hồ, Nxb Thế giới, 2016, tr.437"
HVDV_-_LYTRAN_-_012_crop_01.png,HVDV - LYTRAN - 012_ver_01.pdf,HVDV - LYTRAN - 012,Ly-Tran,colored,4368,844,1,1,Lục Bình,Pattern hoa dây thời Lý,"Thạp gốm hoa nâu, hiện vật Bảo tàng Lịch sử Quốc Gia, ảnh: Đặng Bá Minh Công"
HVDV_-_LYTRAN_-_013_crop_01.png,HVDV - LYTRAN - 013_ver_02.pdf,HVDV - LYTRAN - 013,Ly-Tran,line_art,1040,2119,1,1,Lục Bình,Hoa sen thời Lý- Trần,"Thạp gốm hoa nâu, hiện vật Bảo tàng Lịch sử Quốc Gia, ảnh: Đặng Bá Minh Công"
HVDV_-_LYTRAN_-_015_crop_01.png,HVDV - LYTRAN - 015_ver_01.pdf,HVDV - LYTRAN - 015,Ly-Tran,colored,8856,2128,1,1,Lục Bình,Vũ nữ cầm hoa sen,"Di tích tháp Chương Sơn, bảo tàng Nam Định, ảnh: Nguyễn Ngọc Duy"
HVDV_-_LYTRAN_-_018_crop_01.png,HVDV - LYTRAN - 018_ver_02.pdf,HVDV - LYTRAN - 018,Ly-Tran,line_art,3780,1284,1,1,Lục Bình,Hoa dây,"Bệ đá chùa Ngọc Khám, Bắc Ninh, ảnh: Đặng Bá Minh Công"
HVDV_-_LYTRAN_-_019_crop_01.png,HVDV - LYTRAN - 019_ver_02.pdf,HVDV - LYTRAN - 019,Ly-Tran,line_art,1401,1455,1,1,Lục Bình,Bát bảo sừng tê,"Bệ đá chùa Ngọc Khám, Bắc Ninh, ảnh: Đặng Bá Minh Công"
