filename,source_pdf,ma_so,period,style,width,height,cell_index,total_cells,hoa_si,mieu_ta,nguon_goc
HVDV_-_NGN_-_002_crop_01.png,HVDV - NGN - 002_ver_01.pdf,HVDV - NGN - 002,Nguyen,line_art,4835,2738,1,1,Ngô Bá Phóng,"Núi, mây phủ trên đỉnh, có mỹ tự","Cửu đỉnh, Thế Miếu, Đại nội Huế,  ảnh: Phan Huy Lê"
HVDV_-_NGN_-_010a_crop_01.png,HVDV - NGN - 010a_ver_01.pdf,HVDV - NGN - 010a,Nguyen,line_art,3128,1693,1,1,Ngô Bá Phóng,Nghê ôm quả cầu,"Bậc cửa chạm tứ linh, đền vua Đinh, ảnh: Nguyễn Trí Quang - VR3D.VN"
HVDV_-_NGN_-_010b_crop_01.png,HVDV - NGN - 010b_ver_01.pdf,HVDV - NGN - 010b,Nguyen,line_art,2213,1417,1,1,Ngô Bá Phóng,Rùa,"Bậc cửa chạm tứ linh, đền vua Đinh, ảnh: Nguyễn Trí Quang - VR3D.VN"
HVDV_-_NGN_-_022_crop_01.png,HVDV - NGN - 022_ver_01.pdf,HVDV - NGN - 022,Nguyen,line_art,3806,3806,1,1,Ngô Bá Phóng,Chim khách đậu trên cây,"Khay gỗ khảm, Bảo tàng Cổ vật Cung đình Huế, ảnh: Phan Huy Lê"
HVDV_-_NGN_-_023b_crop_01.png,HVDV - NGN - 023b_ver_01.pdf,HVDV - NGN - 023b,Nguyen,line_art,2878,1747,1,1,Ngô Bá Phóng,Lân,"Trang trí sơn son trên hộp thời Nguyễn, Đại nội Huế, ảnh: Phan Huy Lê"
HVDV_-_NGN_-_023c_crop_01.png,HVDV - NGN - 023c_ver_02.pdf,HVDV - NGN - 023c,Nguyen,line_art,2609,1815,1,1,Ngô Bá Phóng,Rùa,"Trang trí sơn son trên hộp thời Nguyễn, Đại nội Huế, ảnh: Phan Huy Lê"
HVDV_-_NGN_-_AO_-_001_crop_01.png,HVDV - NGN - AO - 001_ver_04.pdf,HVDV - NGN - AO - 001,Nguyen,line_art,2740,2740,1,12,Võ Quỳnh Trâm,"Đào, bầu, mẫu đơn, bách hợp (huệ, ly)","Áo dài bát bửu, bảo tàng văn hóa Huế,  ảnh: Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_001_crop_02.png,HVDV - NGN - AO - 001_ver_04.pdf,HVDV - NGN - AO - 001,Nguyen,line_art,2715,2740,2,12,Võ Quỳnh Trâm,"Đào, bầu, mẫu đơn, bách hợp (huệ, ly)","Áo dài bát bửu, bảo tàng văn hóa Huế,  ảnh: Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_001_crop_03.png,HVDV - NGN - AO - 001_ver_04.pdf,HVDV - NGN - AO - 001,Nguyen,line_art,2696,2740,3,12,Võ Quỳnh Trâm,"Đào, bầu, mẫu đơn, bách hợp (huệ, ly)","Áo dài bát bửu, bảo tàng văn hóa Huế,  ảnh: Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_001_crop_04.png,HVDV - NGN - AO - 001_ver_04.pdf,HVDV - NGN - AO - 001,Nguyen,line_art,2723,2740,4,12,Võ Quỳnh Trâm,"Đào, bầu, mẫu đơn, bách hợp (huệ, ly)","Áo dài bát bửu, bảo tàng văn hóa Huế,  ảnh: Nguyễn Tấn"
