local_filename,suggested_period,period_confirmed,motif_type,keep,width,height,license,page_url,url,description,author,categories
Boddhi_leaves_with_phoenix_motif_architectural_decoration_Ly-Tran_dynasties_11th-14th_century_AD_terracotta_-_National_Museum_of_Vietnamese_History_-_Hanoi_Vietnam_-_DSC05505.JPG,Ly-Tran,,,,5407,3242,CC0,https://commons.wikimedia.org/wiki/File%3ABoddhi_leaves_with_phoenix_motif%2C_architectural_decoration%2C_Ly-Tran_dynasties%2C_11th-14th_century_AD%2C_terracotta_-_National_Museum_of_Vietnamese_History_-_Hanoi%2C_Vietnam_-_DSC05505.JPG,https://upload.wikimedia.org/wikipedia/commons/4/49/Boddhi_leaves_with_phoenix_motif%2C_architectural_decoration%2C_Ly-Tran_dynasties%2C_11th-14th_century_AD%2C_terracotta_-_National_Museum_of_Vietnamese_History_-_Hanoi%2C_Vietnam_-_DSC05505.JPG,"Exhibit in the National Museum of Vietnamese History, Hanoi, Vietnam. Photography was permitted in the museum without restriction. This artwork is old enough so that it is in the public domain.","<a href=""//commons.wikimedia.org/wiki/User:Daderot"" title=""User:Daderot"">Daderot</a>",CC-Zero|Self-published work|Files uploaded by Daderot|Trần dynasty ceramics in the National Museum of Vietnamese History|Bodhi leaves in art|Lý dynasty ceramics in the National Museum of Vietnamese Hi
Bowl_for_domestic_use_Ly-Tran_dynasty_11th-14th_centuries_AD_glazed_ceramic_-_National_Museum_of_Vietnamese_History_-_Hanoi_Vietnam_-_DSC05516.JPG,Ly-Tran,,,,5472,3648,CC0,https://commons.wikimedia.org/wiki/File%3ABowl_for_domestic_use%2C_Ly-Tran_dynasty%2C_11th-14th_centuries_AD%2C_glazed_ceramic_-_National_Museum_of_Vietnamese_History_-_Hanoi%2C_Vietnam_-_DSC05516.JPG,https://upload.wikimedia.org/wikipedia/commons/a/a9/Bowl_for_domestic_use%2C_Ly-Tran_dynasty%2C_11th-14th_centuries_AD%2C_glazed_ceramic_-_National_Museum_of_Vietnamese_History_-_Hanoi%2C_Vietnam_-_DSC05516.JPG,"Exhibit in the National Museum of Vietnamese History, Hanoi, Vietnam. Photography was permitted in the museum without restriction. This artwork is old enough so that it is in the public domain.","<a href=""//commons.wikimedia.org/wiki/User:Daderot"" title=""User:Daderot"">Daderot</a>",CC-Zero|Self-published work|Files uploaded by Daderot|Trần dynasty ceramics in the National Museum of Vietnamese History|Lý dynasty ceramics in the National Museum of Vietnamese History
Bowl_for_domestic_use_Ly-Tran_dynasty_11th-14th_century_AD_glazed_ceramic_-_National_Museum_of_Vietnamese_History_-_Hanoi_Vietnam_-_DSC05518.JPG,Ly-Tran,,,,4601,3312,CC0,https://commons.wikimedia.org/wiki/File%3ABowl_for_domestic_use%2C_Ly-Tran_dynasty%2C_11th-14th_century_AD%2C_glazed_ceramic_-_National_Museum_of_Vietnamese_History_-_Hanoi%2C_Vietnam_-_DSC05518.JPG,https://upload.wikimedia.org/wikipedia/commons/f/f8/Bowl_for_domestic_use%2C_Ly-Tran_dynasty%2C_11th-14th_century_AD%2C_glazed_ceramic_-_National_Museum_of_Vietnamese_History_-_Hanoi%2C_Vietnam_-_DSC05518.JPG,"Exhibit in the National Museum of Vietnamese History, Hanoi, Vietnam. Photography was permitted in the museum without restriction. This artwork is old enough so that it is in the public domain.","<a href=""//commons.wikimedia.org/wiki/User:Daderot"" title=""User:Daderot"">Daderot</a>",CC-Zero|Self-published work|Files uploaded by Daderot|Trần dynasty ceramics in the National Museum of Vietnamese History|Lý dynasty ceramics in the National Museum of Vietnamese History
Bowls_for_domestic_use_Ly-Tran_dynasty_11th-14th_century_AD_celadon_glazed_ceramic_-_National_Museum_of_Vietnamese_History_-_Hanoi_Vietnam_-_DSC05522.JPG,Ly-Tran,,,,5245,2508,CC0,https://commons.wikimedia.org/wiki/File%3ABowls_for_domestic_use%2C_Ly-Tran_dynasty%2C_11th-14th_century_AD%2C_celadon_glazed_ceramic_-_National_Museum_of_Vietnamese_History_-_Hanoi%2C_Vietnam_-_DSC05522.JPG,https://upload.wikimedia.org/wikipedia/commons/e/e0/Bowls_for_domestic_use%2C_Ly-Tran_dynasty%2C_11th-14th_century_AD%2C_celadon_glazed_ceramic_-_National_Museum_of_Vietnamese_History_-_Hanoi%2C_Vietnam_-_DSC05522.JPG,"Exhibit in the National Museum of Vietnamese History, Hanoi, Vietnam. Photography was permitted in the museum without restriction. This artwork is old enough so that it is in the public domain.","<a href=""//commons.wikimedia.org/wiki/User:Daderot"" title=""User:Daderot"">Daderot</a>",CC-Zero|Self-published work|Files uploaded by Daderot|Trần dynasty ceramics in the National Museum of Vietnamese History|Lý dynasty ceramics in the National Museum of Vietnamese History
Dish_for_domestic_use_Ly-Tran_dynasty_11th-14th_century_AD_celadon_glazed_ceramic_-_National_Museum_of_Vietnamese_History_-_Hanoi_Vietnam_-_DSC05519.JPG,Ly-Tran,,,,3236,2603,CC0,https://commons.wikimedia.org/wiki/File%3ADish_for_domestic_use%2C_Ly-Tran_dynasty%2C_11th-14th_century_AD%2C_celadon_glazed_ceramic_-_National_Museum_of_Vietnamese_History_-_Hanoi%2C_Vietnam_-_DSC05519.JPG,https://upload.wikimedia.org/wikipedia/commons/d/d6/Dish_for_domestic_use%2C_Ly-Tran_dynasty%2C_11th-14th_century_AD%2C_celadon_glazed_ceramic_-_National_Museum_of_Vietnamese_History_-_Hanoi%2C_Vietnam_-_DSC05519.JPG,"Exhibit in the National Museum of Vietnamese History, Hanoi, Vietnam. Photography was permitted in the museum without restriction. This artwork is old enough so that it is in the public domain.","<a href=""//commons.wikimedia.org/wiki/User:Daderot"" title=""User:Daderot"">Daderot</a>",CC-Zero|Self-published work|Files uploaded by Daderot|Trần dynasty ceramics in the National Museum of Vietnamese History|Lý dynasty ceramics in the National Museum of Vietnamese History
Décor_de_toit_musée_dhistoire_Hanoi_4359058118.jpg,Ly-Tran,,,,1365,1024,CC BY 2.0,https://commons.wikimedia.org/wiki/File%3AD%C3%A9cor_de_toit_%28mus%C3%A9e_dhistoire%2C_Hanoi%29_%284359058118%29.jpg,https://upload.wikimedia.org/wikipedia/commons/d/dd/D%C3%A9cor_de_toit_%28mus%C3%A9e_dhistoire%2C_Hanoi%29_%284359058118%29.jpg,"<p>Décor de tuiles en forme de canard
Terre cuite
11 - 14ème siècles
Dynastie Ly - Tran
Citadelle Thang Long (Hanoi)
</p>
<a rel=""nofollow"" class=""external text"" href=""http://www.baotanglichsu.vn/"">ww","<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/72746018@N00"">Jean-Pierr",Taken with Nikon D200|Flickr images reviewed by File Upload Bot (Magnus Manske)|Photographs by Jean-Pierre Dalbéra|Files with coordinates missing SDC location of creation|Lý dynasty ceramics in the Na
Ewer_Ly-Tran_dynasty_11th-14th_century_AD_brown_and_celadon_glazed_ceramic_-_National_Museum_of_Vietnamese_History_-_Hanoi_Vietnam_-_DSC05514.JPG,Ly-Tran,,,,3563,4281,CC0,https://commons.wikimedia.org/wiki/File%3AEwer%2C_Ly-Tran_dynasty%2C_11th-14th_century_AD%2C_brown_and_celadon_glazed_ceramic_-_National_Museum_of_Vietnamese_History_-_Hanoi%2C_Vietnam_-_DSC05514.JPG,https://upload.wikimedia.org/wikipedia/commons/2/2f/Ewer%2C_Ly-Tran_dynasty%2C_11th-14th_century_AD%2C_brown_and_celadon_glazed_ceramic_-_National_Museum_of_Vietnamese_History_-_Hanoi%2C_Vietnam_-_DSC05514.JPG,"Exhibit in the National Museum of Vietnamese History, Hanoi, Vietnam. Photography was permitted in the museum without restriction. This artwork is old enough so that it is in the public domain.","<a href=""//commons.wikimedia.org/wiki/User:Daderot"" title=""User:Daderot"">Daderot</a>",CC-Zero|Self-published work|Files uploaded by Daderot|Trần dynasty ceramics in the National Museum of Vietnamese History|Lý dynasty ceramics in the National Museum of Vietnamese History
Ewer_Ly-Tran_dynasty_11th-14th_century_AD_white_and_celadon_glazed_ceramic_-_National_Museum_of_Vietnamese_History_-_Hanoi_Vietnam_-_DSC05524.JPG,Ly-Tran,,,,3648,4206,CC0,https://commons.wikimedia.org/wiki/File%3AEwer%2C_Ly-Tran_dynasty%2C_11th-14th_century_AD%2C_white_and_celadon_glazed_ceramic_-_National_Museum_of_Vietnamese_History_-_Hanoi%2C_Vietnam_-_DSC05524.JPG,https://upload.wikimedia.org/wikipedia/commons/e/e3/Ewer%2C_Ly-Tran_dynasty%2C_11th-14th_century_AD%2C_white_and_celadon_glazed_ceramic_-_National_Museum_of_Vietnamese_History_-_Hanoi%2C_Vietnam_-_DSC05524.JPG,"Exhibit in the National Museum of Vietnamese History, Hanoi, Vietnam. Photography was permitted in the museum without restriction. This artwork is old enough so that it is in the public domain.","<a href=""//commons.wikimedia.org/wiki/User:Daderot"" title=""User:Daderot"">Daderot</a>",CC-Zero|Self-published work|Files uploaded by Daderot|Trần dynasty ceramics in the National Museum of Vietnamese History|Lý dynasty ceramics in the National Museum of Vietnamese History
Ewer_with_chrysanthemum_decoration_Hoa_Binh_province_Tran_dynasty_13th-14th_century_AD_celadon_glazed_ceramic_-_National_Museum_of_Vietnamese_History_-_Hanoi_Vietnam_-_DSC05512.JPG,Ly-Tran,,,,3648,5472,CC0,https://commons.wikimedia.org/wiki/File%3AEwer_with_chrysanthemum_decoration%2C_Hoa_Binh_province%2C_Tran_dynasty%2C_13th-14th_century_AD%2C_celadon_glazed_ceramic_-_National_Museum_of_Vietnamese_History_-_Hanoi%2C_Vietnam_-_DSC05512.JPG,https://upload.wikimedia.org/wikipedia/commons/6/68/Ewer_with_chrysanthemum_decoration%2C_Hoa_Binh_province%2C_Tran_dynasty%2C_13th-14th_century_AD%2C_celadon_glazed_ceramic_-_National_Museum_of_Vietnamese_History_-_Hanoi%2C_Vietnam_-_DSC05512.JPG,"Exhibit in the National Museum of Vietnamese History, Hanoi, Vietnam. Photography was permitted in the museum without restriction. This artwork is old enough so that it is in the public domain.","<a href=""//commons.wikimedia.org/wiki/User:Daderot"" title=""User:Daderot"">Daderot</a>",CC-Zero|Self-published work|Files uploaded by Daderot|Trần dynasty ceramics in the National Museum of Vietnamese History
Ewers_Ly-Tran_dynasty_11th-13th_century_AD_glazed_ceramic_-_National_Museum_of_Vietnamese_History_-_Hanoi_Vietnam_-_DSC05529.JPG,Ly-Tran,,,,5472,2711,CC0,https://commons.wikimedia.org/wiki/File%3AEwers%2C_Ly-Tran_dynasty%2C_11th-13th_century_AD%2C_glazed_ceramic_-_National_Museum_of_Vietnamese_History_-_Hanoi%2C_Vietnam_-_DSC05529.JPG,https://upload.wikimedia.org/wikipedia/commons/c/ce/Ewers%2C_Ly-Tran_dynasty%2C_11th-13th_century_AD%2C_glazed_ceramic_-_National_Museum_of_Vietnamese_History_-_Hanoi%2C_Vietnam_-_DSC05529.JPG,"Exhibit in the National Museum of Vietnamese History, Hanoi, Vietnam. Photography was permitted in the museum without restriction. This artwork is old enough so that it is in the public domain.","<a href=""//commons.wikimedia.org/wiki/User:Daderot"" title=""User:Daderot"">Daderot</a>",CC-Zero|Self-published work|Files uploaded by Daderot|Trần dynasty ceramics in the National Museum of Vietnamese History|Lý dynasty ceramics in the National Museum of Vietnamese History
